,Player,Team,Position,Age,Matches played,Minutes played,Birth country,Passport country,Successful defensive actions per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,Assists per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Key passes per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90
8,M. Plan,Eskilstuna United,"LCB, RCB",23.0,23,2109,Sweden,Sweden,14.59,71.51,2.69,57.14,0.47,0.38,9.81,1.19,0.0,50.87,82.21,19.72,66.23,3.12,41.35,9.52,24.1,0.03,0.17,0.09,55.81,0.51,16.67,0.98,0.21,0.0,10.37
9,K. Veje,Rosengård,LB,30.0,23,2100,Denmark,Denmark,6.17,62.62,0.34,62.5,0.12,0.09,4.37,0.43,0.04,77.87,86.35,27.69,80.5,10.54,70.5,3.9,17.92,0.11,1.11,0.81,79.09,4.84,51.33,1.37,1.29,1.41,15.26
10,F. Michael,Piteå,"LCB, RCB",34.0,23,2098,Nigeria,Nigeria,8.15,73.42,2.36,56.36,0.0,0.6,6.03,0.21,0.0,31.66,81.98,13.68,68.97,2.19,24.84,6.78,23.3,0.02,0.21,0.13,47.06,0.6,50.0,0.6,0.26,0.0,6.22
11,S. Adolfsson,Vittsjö,LCB,34.0,22,2097,Sweden,Sweden,7.85,64.52,2.79,56.92,0.21,0.39,6.3,0.52,0.0,48.28,86.84,18.33,72.37,3.35,42.15,6.09,21.84,0.0,0.09,0.0,58.73,0.9,38.1,0.99,0.21,0.0,7.34
12,L. Motlhalo,Djurgården,"LCMF, LW, DMF",23.0,23,2092,South Africa,South Africa,7.49,58.21,1.16,51.85,0.09,0.17,4.43,0.22,0.09,36.52,83.75,9.25,69.77,7.83,33.94,1.63,15.51,0.09,1.42,0.6,70.27,2.71,58.73,0.69,1.25,0.34,5.08
13,M. van den Bulk,Djurgården,RCB,32.0,22,2090,Netherlands,Netherlands,13.05,67.46,2.8,50.77,0.67,0.69,8.36,0.6,0.0,50.04,74.53,26.91,61.76,2.8,39.7,10.03,21.71,0.03,0.22,0.04,46.84,1.33,22.58,1.12,0.34,0.09,10.72
14,J. Nordin,Piteå,"RCB, LCB",28.0,22,2080,Sweden,Sweden,10.51,67.5,4.5,54.81,0.14,0.95,7.25,0.74,0.0,33.84,72.63,17.44,55.58,2.42,24.53,9.26,23.84,0.01,0.09,0.04,38.0,1.51,14.29,1.08,0.35,0.04,7.05
15,E. Kullberg,Häcken,"LCB, CB",30.0,22,2052,Sweden,Sweden,10.83,73.84,2.19,52.0,0.0,0.35,7.91,0.48,0.0,63.25,89.53,26.62,82.37,4.82,56.93,5.96,20.53,0.01,0.31,0.09,70.51,0.75,41.18,0.83,0.26,0.13,9.47
16,H. Gísladóttir,AIK,"LB, LW",35.0,22,2040,Iceland,Iceland,8.51,59.41,2.29,42.31,0.04,0.09,4.09,0.53,0.04,32.78,62.45,17.29,48.47,4.24,23.43,7.19,21.47,0.07,0.62,0.31,41.67,2.82,29.69,0.75,0.22,0.62,9.44
17,O. Schough,Rosengård,"LWF, LW",30.0,23,2038,Sweden,Sweden,5.7,59.32,0.84,42.11,0.3,0.0,3.21,0.49,0.35,42.09,75.87,7.64,64.16,13.95,35.15,1.24,16.62,0.49,2.61,1.37,61.67,5.61,48.03,1.41,1.15,2.3,6.71
