,Player,Team,Position,Age,Matches played,Minutes played,Birth country,Passport country,Successful defensive actions per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,Assists per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Key passes per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90
66,E. Karlsson,Växjö,"LCB, LB",26.0,11,928,Sweden,Sweden,13.87,78.76,3.1,53.13,0.36,0.19,6.05,0.68,0.0,38.21,78.93,16.49,65.29,2.81,31.52,5.53,21.34,0.01,0.29,0.1,44.83,1.84,36.84,0.48,0.19,0.39,6.11
67,T. Johansson,Växjö,"LCMF, DMF, LB",19.0,23,906,Sweden,Sweden,13.21,66.96,3.18,46.88,0.11,0.3,6.29,0.6,0.0,36.16,69.23,15.1,62.5,3.87,31.69,3.58,17.33,0.0,0.2,0.0,56.0,1.69,17.65,0.6,0.4,0.0,7.75
68,K. Guillou,Piteå,"AMF, LAMF, LW",27.0,13,891,United States,United States,11.82,70.53,1.11,27.27,1.24,0.0,4.38,1.11,0.2,23.74,66.38,6.06,46.67,6.87,20.71,1.82,15.56,0.09,0.61,0.4,34.78,1.31,30.77,0.2,0.61,0.4,3.43
69,S. Woeller,Växjö,"LCB, RCB",31.0,10,882,Canada,Canada,6.94,65.0,3.06,40.0,0.1,0.82,4.27,0.82,0.0,48.16,80.08,21.84,65.42,1.63,38.47,9.69,23.55,0.0,0.0,0.0,47.83,1.12,18.18,0.92,0.0,0.0,8.67
70,K. Karlsen,Djurgården,"CB, LCB",21.0,9,843,Denmark,Denmark,9.5,72.31,1.81,35.29,0.0,0.75,4.94,0.43,0.0,32.24,81.13,13.88,62.31,1.71,26.69,5.55,20.98,0.0,0.0,0.0,36.84,0.32,100.0,0.0,0.32,0.0,5.77
71,V. Barsley,Eskilstuna United,"RCB, CB, LCB",34.0,17,843,England,"England, Scotland",10.25,63.64,4.59,76.74,0.49,0.75,7.84,0.75,0.11,39.4,83.74,16.23,71.71,2.03,32.14,7.15,19.33,0.04,0.11,0.11,57.45,0.64,66.67,0.43,0.43,0.11,6.41
72,S. Nordin,AIK,"LCMF, LCB",28.0,10,833,Sweden,Sweden,13.29,58.97,4.75,61.36,0.91,0.86,7.81,1.3,0.11,32.95,76.39,12.64,60.68,4.0,28.42,4.43,18.68,0.05,0.11,0.11,47.22,0.97,11.11,0.32,0.22,0.0,6.59
73,H. Ekengren,Djurgården,"CF, RAMF, LW",19.0,17,816,Sweden,Sweden,7.72,50.0,2.32,42.86,0.0,0.0,3.6,3.09,0.11,19.41,61.93,3.97,44.44,4.85,15.77,1.1,19.41,0.07,0.55,0.33,38.46,2.1,47.37,0.44,0.88,0.55,3.31
74,S. Lilja-Vidlund,KIF Örebro,"LW, CF, LCMF",20.0,20,721,Sweden,Sweden,10.11,60.24,1.0,25.0,0.42,0.0,3.96,0.62,0.25,20.35,66.87,4.24,44.12,6.49,17.35,1.25,16.45,0.21,0.62,0.5,40.0,2.37,31.58,0.25,0.37,0.5,3.0
75,N. Björn,Everton,"RB, RCB",24.0,9,701,Sweden,Sweden,9.63,77.55,3.72,44.83,0.5,0.13,5.7,0.64,0.0,67.02,83.33,23.11,72.22,5.91,60.21,5.26,19.08,0.02,0.39,0.26,65.88,3.21,44.0,1.67,1.16,0.39,12.84
76,A. Csiki,Häcken,"RAMF, LWB, RW",21.0,16,649,Hungary,Hungary,11.09,57.89,0.69,60.0,0.0,0.28,10.0,1.25,0.28,39.94,72.57,9.29,62.69,9.43,32.17,2.91,18.36,0.26,2.08,1.11,75.0,4.85,28.57,0.83,1.25,1.39,8.18
77,P. Hammarlund,Häcken,"CF, LAMF",27.0,8,635,Sweden,Sweden,3.97,58.82,3.12,40.91,0.23,0.0,3.83,0.99,0.43,24.66,69.54,4.82,47.06,7.51,22.39,0.57,14.17,0.32,1.98,1.28,44.44,2.41,23.53,1.42,1.84,0.14,2.41
78,J. Tunturi,Vittsjö,"LW, LAMF, LCMF",25.0,15,618,Finland,Finland,11.5,53.19,5.1,57.14,1.03,0.15,8.23,0.44,0.15,38.01,71.65,12.38,52.94,9.76,32.48,3.5,16.88,0.06,0.87,0.29,43.24,2.18,40.0,0.73,0.29,0.73,5.53
79,M. Nild,Kristianstad,"CF, LAMF, LWF",24.0,15,612,Thailand,"Thailand, United States",5.88,61.76,1.03,14.29,0.0,0.15,3.88,1.03,0.0,20.29,65.22,2.65,55.56,5.29,16.03,1.47,16.21,0.04,0.44,0.29,36.36,2.21,20.0,0.59,0.44,0.15,2.65
80,S. Larsen,Häcken,"LAMF, CF, RAMF",25.0,10,591,Denmark,Denmark,7.77,58.33,5.63,56.76,0.23,0.15,6.8,1.37,0.0,24.52,73.91,4.72,45.16,8.53,21.93,0.3,16.34,0.15,1.07,0.3,53.33,1.37,44.44,0.46,0.46,1.07,2.13
81,L. Selberg,Piteå,"RB, LCB, RCB",21.0,16,587,Sweden,Sweden,10.27,51.61,1.23,37.5,0.16,0.31,5.57,0.46,0.0,31.58,66.5,17.17,60.71,1.84,24.84,5.98,18.49,0.0,0.0,0.0,50.0,1.53,30.0,0.61,0.31,0.46,9.66
82,T. Almqvist,Vittsjö,"LW, AMF, LAMF",25.0,9,583,Sweden,Sweden,7.87,48.48,1.54,30.0,0.19,0.0,3.51,1.39,0.0,33.19,80.47,6.64,67.44,9.73,31.03,1.23,16.9,0.11,0.93,0.31,73.68,1.39,33.33,0.93,0.46,0.31,3.55
83,M. Gejl,Häcken,"AMF, RW, LAMF",22.0,10,582,Denmark,Denmark,6.49,65.71,0.93,50.0,0.22,0.0,4.03,0.62,0.0,36.49,82.63,7.27,63.83,11.29,35.72,0.46,13.69,0.08,1.08,0.15,64.29,1.08,42.86,0.77,1.08,0.15,3.4
84,D. Zomers,Häcken,"LAMF, LW",19.0,14,571,Iceland,Iceland,10.56,64.29,5.83,51.35,0.0,0.0,7.44,0.79,0.0,29.63,68.62,6.94,61.36,7.25,26.16,0.79,17.38,0.13,1.26,0.47,60.0,2.36,33.33,0.16,1.42,0.47,4.73
85,H. Bennison,Everton,"RW, LCMF, LW",19.0,13,570,Sweden,Sweden,5.21,61.9,1.42,22.22,0.66,0.0,3.75,0.16,0.32,34.26,80.65,8.05,76.47,8.05,32.05,0.95,15.26,0.26,1.89,1.42,69.23,3.32,57.14,1.89,2.53,0.63,4.42
86,K. Plummer,AIK,RCB,24.0,6,567,Jamaica,Jamaica,15.08,74.36,4.29,37.04,0.34,0.79,10.79,0.79,0.0,31.59,72.36,13.65,50.0,3.97,24.29,7.14,22.06,0.0,0.0,0.0,42.42,0.79,20.0,0.79,0.16,0.16,7.62
87,H. Kollanen,KIF Örebro,"LAMF, LW, AMF",24.0,9,556,Finland,Finland,7.45,58.7,1.46,0.0,0.0,0.16,3.63,0.32,0.0,34.32,68.87,10.2,41.27,10.52,28.97,3.24,16.83,0.1,0.81,0.32,37.93,3.4,28.57,2.59,0.49,0.97,5.18
88,S. Redenstrand,KIF Örebro,"LWB, LB",20.0,16,541,Sweden,Sweden,7.15,43.24,1.16,57.14,0.0,0.33,5.16,0.67,0.17,28.78,76.3,10.65,67.19,6.49,25.12,2.0,18.24,0.17,1.0,0.17,60.71,1.5,55.56,0.33,0.17,0.5,6.16
